question_id,video_id,video_path,correct_idx,pred_idx,is_correct,response,num_frames,frame_height,frame_width,total_pixels,requested_pixels,input_tokens,output_tokens,sample_fps_eff,vision_tokens
fine_grained_action_localization_24,P02-20240211-120927,/home/aryan/ami/381V-final/data/gaze_only_512-256/fine_grained_action_localization_24.mp4,3,0,0,0,4,256,256,262144,524288,447,2,2.6666666666666665,512
fine_grained_action_localization_37,P02-20240211-141313,/home/aryan/ami/381V-final/data/gaze_only_512-256/fine_grained_action_localization_37.mp4,3,0,0,0,4,256,256,262144,524288,445,2,2.6666666666666665,512
fine_grained_action_localization_98,P02-20240211-104948,/home/aryan/ami/381V-final/data/gaze_only_512-256/fine_grained_action_localization_98.mp4,4,0,0,0,4,256,256,262144,524288,445,2,2.6666666666666665,512
fine_grained_action_localization_106,P02-20240211-141313,/home/aryan/ami/381V-final/data/gaze_only_512-256/fine_grained_action_localization_106.mp4,3,0,0,0,4,256,256,262144,524288,445,2,2.6666666666666665,512
fine_grained_action_localization_130,P02-20240211-141313,/home/aryan/ami/381V-final/data/gaze_only_512-256/fine_grained_action_localization_130.mp4,4,2,0,2,4,256,256,262144,524288,446,2,2.6666666666666665,512
fine_grained_action_localization_143,P02-20240211-141313,/home/aryan/ami/381V-final/data/gaze_only_512-256/fine_grained_action_localization_143.mp4,1,0,0,0,4,256,256,262144,524288,449,2,2.6666666666666665,512
fine_grained_action_localization_174,P02-20240209-194141,/home/aryan/ami/381V-final/data/gaze_only_512-256/fine_grained_action_localization_174.mp4,4,0,0,0,4,256,256,262144,524288,446,2,2.6666666666666665,512
fine_grained_action_localization_191,P02-20240210-100308,/home/aryan/ami/381V-final/data/gaze_only_512-256/fine_grained_action_localization_191.mp4,3,0,0,0,4,256,256,262144,524288,446,2,2.6666666666666665,512
fine_grained_action_localization_197,P02-20240211-120927,/home/aryan/ami/381V-final/data/gaze_only_512-256/fine_grained_action_localization_197.mp4,2,0,0,0,4,256,256,262144,524288,446,2,2.6666666666666665,512
fine_grained_action_localization_213,P02-20240211-141313,/home/aryan/ami/381V-final/data/gaze_only_512-256/fine_grained_action_localization_213.mp4,4,2,0,2,4,256,256,262144,524288,450,2,2.6666666666666665,512
fine_grained_action_localization_255,P02-20240211-120927,/home/aryan/ami/381V-final/data/gaze_only_512-256/fine_grained_action_localization_255.mp4,4,0,0,0,4,256,256,262144,524288,447,2,2.6666666666666665,512
fine_grained_action_localization_260,P02-20240211-120927,/home/aryan/ami/381V-final/data/gaze_only_512-256/fine_grained_action_localization_260.mp4,2,0,0,0,4,256,256,262144,524288,447,2,2.6666666666666665,512
fine_grained_action_recognition_30,P02-20240211-104948,/home/aryan/ami/381V-final/data/gaze_only_512-256/fine_grained_action_recognition_30.mp4,0,0,1,0,4,256,256,262144,524288,337,2,2.6666666666666665,512
fine_grained_action_recognition_235,P02-20240210-100308,/home/aryan/ami/381V-final/data/gaze_only_512-256/fine_grained_action_recognition_235.mp4,1,4,0,4,4,256,256,262144,524288,331,2,2.6666666666666665,512
fine_grained_action_recognition_367,P02-20240209-194141,/home/aryan/ami/381V-final/data/gaze_only_512-256/fine_grained_action_recognition_367.mp4,1,0,0,0,4,256,256,262144,524288,322,2,2.6666666666666665,512
