question_id,video_id,video_path,correct_idx,pred_idx,is_correct,response,num_frames,frame_height,frame_width,total_pixels,requested_pixels,input_tokens,output_tokens,sample_fps_eff,vision_tokens
fine_grained_action_localization_24,P02-20240211-120927,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_action_localization_24.mp4,3,0,0,0,8,256,256,524288,524288,591,2,2.2857142857142856,1024
fine_grained_action_localization_37,P02-20240211-141313,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_action_localization_37.mp4,3,0,0,0,8,256,256,524288,524288,589,2,2.2857142857142856,1024
fine_grained_action_localization_98,P02-20240211-104948,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_action_localization_98.mp4,4,0,0,0,8,256,256,524288,524288,589,2,2.2857142857142856,1024
fine_grained_action_localization_106,P02-20240211-141313,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_action_localization_106.mp4,3,0,0,0,8,256,256,524288,524288,589,2,2.2857142857142856,1024
fine_grained_action_localization_130,P02-20240211-141313,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_action_localization_130.mp4,4,2,0,2,8,256,256,524288,524288,590,2,2.2857142857142856,1024
fine_grained_action_localization_143,P02-20240211-141313,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_action_localization_143.mp4,1,3,0,3,8,256,256,524288,524288,593,2,2.2857142857142856,1024
fine_grained_action_localization_174,P02-20240209-194141,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_action_localization_174.mp4,4,0,0,0,8,256,256,524288,524288,590,2,2.2857142857142856,1024
fine_grained_action_localization_191,P02-20240210-100308,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_action_localization_191.mp4,3,1,0,1,8,256,256,524288,524288,590,2,2.2857142857142856,1024
fine_grained_action_localization_197,P02-20240211-120927,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_action_localization_197.mp4,2,0,0,0,8,256,256,524288,524288,590,2,2.2857142857142856,1024
fine_grained_action_localization_213,P02-20240211-141313,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_action_localization_213.mp4,4,3,0,3,8,256,256,524288,524288,594,2,2.2857142857142856,1024
fine_grained_action_localization_255,P02-20240211-120927,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_action_localization_255.mp4,4,2,0,2,8,256,256,524288,524288,591,2,2.2857142857142856,1024
fine_grained_action_localization_260,P02-20240211-120927,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_action_localization_260.mp4,2,0,0,0,8,256,256,524288,524288,591,2,2.2857142857142856,1024
fine_grained_action_recognition_30,P02-20240211-104948,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_action_recognition_30.mp4,0,0,1,0,8,256,256,524288,524288,481,2,2.2857142857142856,1024
fine_grained_action_recognition_235,P02-20240210-100308,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_action_recognition_235.mp4,1,0,0,0,8,256,256,524288,524288,475,2,2.2857142857142856,1024
fine_grained_action_recognition_367,P02-20240209-194141,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_action_recognition_367.mp4,1,0,0,0,8,256,256,524288,524288,466,2,2.2857142857142856,1024
fine_grained_action_recognition_530,P02-20240210-220650,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_action_recognition_530.mp4,1,3,0,3,8,256,256,524288,524288,471,2,2.2857142857142856,1024
fine_grained_how_recognition_9,P02-20240209-194141,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_how_recognition_9.mp4,1,1,1,1,8,256,256,524288,524288,466,2,2.2857142857142856,1024
fine_grained_how_recognition_52,P02-20240211-115653,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_how_recognition_52.mp4,2,2,1,2,8,256,256,524288,524288,468,2,2.2857142857142856,1024
fine_grained_how_recognition_120,P02-20240211-120927,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_how_recognition_120.mp4,3,1,0,1,8,256,256,524288,524288,452,2,2.2857142857142856,1024
fine_grained_how_recognition_175,P02-20240211-120927,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_how_recognition_175.mp4,2,2,1,2,8,256,256,524288,524288,458,2,2.2857142857142856,1024
fine_grained_how_recognition_205,P02-20240211-141313,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_how_recognition_205.mp4,3,0,0,0,8,256,256,524288,524288,444,2,2.2857142857142856,1024
fine_grained_why_recognition_26,P02-20240210-122334,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_why_recognition_26.mp4,3,1,0,1,8,256,256,524288,524288,460,2,2.2857142857142856,1024
fine_grained_why_recognition_43,P02-20240209-194141,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_why_recognition_43.mp4,2,2,1,2,8,256,256,524288,524288,428,2,2.2857142857142856,1024
fine_grained_why_recognition_95,P02-20240209-194141,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_why_recognition_95.mp4,3,4,0,4,8,256,256,524288,524288,421,2,2.2857142857142856,1024
fine_grained_why_recognition_119,P02-20240210-195833,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_why_recognition_119.mp4,2,1,0,1,8,256,256,524288,524288,434,2,2.2857142857142856,1024
fine_grained_why_recognition_162,P02-20240209-194141,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_why_recognition_162.mp4,0,0,1,0,8,256,256,524288,524288,440,2,2.2857142857142856,1024
fine_grained_why_recognition_190,P02-20240211-104948,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_why_recognition_190.mp4,4,4,1,4,8,256,256,524288,524288,428,2,2.2857142857142856,1024
fine_grained_why_recognition_239,P02-20240211-120927,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_why_recognition_239.mp4,0,0,1,0,8,256,256,524288,524288,454,2,2.2857142857142856,1024
fine_grained_why_recognition_435,P02-20240211-120927,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_why_recognition_435.mp4,2,2,1,2,8,256,256,524288,524288,449,2,2.2857142857142856,1024
fine_grained_why_recognition_479,P02-20240211-120927,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/fine_grained_why_recognition_479.mp4,2,3,0,3,8,256,256,524288,524288,452,2,2.2857142857142856,1024
gaze_gaze_estimation_6,P02-20240210-092616,/home/aryan/ami/381V-final/data/both_256_with_gaze_512/gaze_gaze_estimation_6.mp4,1,0,0,0,8,256,256,524288,524288,409,2,2.2857142857142856,1024
