question_id,video_id,video_path,correct_idx,pred_idx,is_correct,response,num_frames,frame_height,frame_width,total_pixels,requested_pixels,input_tokens,output_tokens,sample_fps_eff,vision_tokens
fine_grained_action_localization_21,P02-20240211-120927,/home/aryan/ami/381V-final/data/gaze_crops_256/fine_grained_action_localization_21.mp4,0,2,0,2,8,256,256,524288,524288,589,2,2.2857142857142856,1024
fine_grained_action_localization_61,P02-20240211-141313,/home/aryan/ami/381V-final/data/gaze_crops_256/fine_grained_action_localization_61.mp4,4,2,0,2,8,256,256,524288,524288,590,2,2.2857142857142856,1024
fine_grained_action_localization_68,P02-20240211-120927,/home/aryan/ami/381V-final/data/gaze_crops_256/fine_grained_action_localization_68.mp4,0,1,0,1,8,256,256,524288,524288,592,2,2.2857142857142856,1024
fine_grained_action_localization_90,P02-20240209-194141,/home/aryan/ami/381V-final/data/gaze_crops_256/fine_grained_action_localization_90.mp4,2,2,1,2,8,256,256,524288,524288,590,2,2.2857142857142856,1024
fine_grained_action_localization_115,P02-20240209-194141,/home/aryan/ami/381V-final/data/gaze_crops_256/fine_grained_action_localization_115.mp4,4,2,0,2,8,256,256,524288,524288,591,2,2.2857142857142856,1024
fine_grained_action_localization_135,P02-20240211-141313,/home/aryan/ami/381V-final/data/gaze_crops_256/fine_grained_action_localization_135.mp4,2,2,1,2,8,256,256,524288,524288,592,2,2.2857142857142856,1024
fine_grained_action_localization_157,P02-20240210-122334,/home/aryan/ami/381V-final/data/gaze_crops_256/fine_grained_action_localization_157.mp4,2,0,0,0,8,256,256,524288,524288,591,2,2.2857142857142856,1024
fine_grained_action_localization_195,P02-20240211-104948,/home/aryan/ami/381V-final/data/gaze_crops_256/fine_grained_action_localization_195.mp4,3,0,0,0,8,256,256,524288,524288,590,2,2.2857142857142856,1024
fine_grained_action_localization_211,P02-20240211-141313,/home/aryan/ami/381V-final/data/gaze_crops_256/fine_grained_action_localization_211.mp4,2,3,0,3,8,256,256,524288,524288,594,2,2.2857142857142856,1024
fine_grained_action_localization_245,P02-20240209-194141,/home/aryan/ami/381V-final/data/gaze_crops_256/fine_grained_action_localization_245.mp4,4,2,0,2,8,256,256,524288,524288,590,2,2.2857142857142856,1024
fine_grained_action_localization_258,P02-20240211-141313,/home/aryan/ami/381V-final/data/gaze_crops_256/fine_grained_action_localization_258.mp4,4,1,0,1,8,256,256,524288,524288,593,2,2.2857142857142856,1024
fine_grained_action_localization_307,P02-20240211-120927,/home/aryan/ami/381V-final/data/gaze_crops_256/fine_grained_action_localization_307.mp4,3,3,1,3,8,256,256,524288,524288,591,2,2.2857142857142856,1024
fine_grained_action_recognition_179,P02-20240210-195833,/home/aryan/ami/381V-final/data/gaze_crops_256/fine_grained_action_recognition_179.mp4,2,1,0,1,8,256,256,524288,524288,470,2,2.2857142857142856,1024
