question_id,video_id,video_path,correct_idx,pred_idx,is_correct,response,num_frames,frame_height,frame_width,total_pixels,requested_pixels,input_tokens,output_tokens,sample_fps_eff,vision_tokens
fine_grained_action_localization_21,P02-20240211-120927,/home/aryan/ami/381V-final/data/original_crops_512/fine_grained_action_localization_21.mp4,0,2,0,2,4,512,512,1048576,524288,829,2,2.6666666666666665,2048
fine_grained_action_localization_61,P02-20240211-141313,/home/aryan/ami/381V-final/data/original_crops_512/fine_grained_action_localization_61.mp4,4,2,0,2,4,512,512,1048576,524288,830,2,2.6666666666666665,2048
fine_grained_action_localization_68,P02-20240211-120927,/home/aryan/ami/381V-final/data/original_crops_512/fine_grained_action_localization_68.mp4,0,0,1,0,4,512,512,1048576,524288,832,2,2.6666666666666665,2048
fine_grained_action_localization_90,P02-20240209-194141,/home/aryan/ami/381V-final/data/original_crops_512/fine_grained_action_localization_90.mp4,2,0,0,0,4,512,512,1048576,524288,830,2,2.6666666666666665,2048
fine_grained_action_localization_115,P02-20240209-194141,/home/aryan/ami/381V-final/data/original_crops_512/fine_grained_action_localization_115.mp4,4,2,0,2,4,512,512,1048576,524288,831,2,2.6666666666666665,2048
fine_grained_action_localization_135,P02-20240211-141313,/home/aryan/ami/381V-final/data/original_crops_512/fine_grained_action_localization_135.mp4,2,0,0,0,4,512,512,1048576,524288,832,2,2.6666666666666665,2048
fine_grained_action_localization_157,P02-20240210-122334,/home/aryan/ami/381V-final/data/original_crops_512/fine_grained_action_localization_157.mp4,2,0,0,0,4,512,512,1048576,524288,831,2,2.6666666666666665,2048
fine_grained_action_localization_195,P02-20240211-104948,/home/aryan/ami/381V-final/data/original_crops_512/fine_grained_action_localization_195.mp4,3,0,0,0,4,512,512,1048576,524288,830,2,2.6666666666666665,2048
fine_grained_action_localization_211,P02-20240211-141313,/home/aryan/ami/381V-final/data/original_crops_512/fine_grained_action_localization_211.mp4,2,0,0,0,4,512,512,1048576,524288,834,2,2.6666666666666665,2048
fine_grained_action_localization_245,P02-20240209-194141,/home/aryan/ami/381V-final/data/original_crops_512/fine_grained_action_localization_245.mp4,4,0,0,0,4,512,512,1048576,524288,830,2,2.6666666666666665,2048
