question_id,video_id,video_path,correct_idx,pred_idx,is_correct,response,num_frames,frame_height,frame_width,total_pixels,requested_pixels,input_tokens,output_tokens,sample_fps_eff
fine_grained_action_localization_24,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_24.mp4,3,0,0,0,4,1408,1408,7929856,262144,564,2,0.016652789190145397
fine_grained_action_localization_37,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_37.mp4,3,0,0,0,4,1408,1408,7929856,262144,562,2,0.008214114347075564
fine_grained_action_localization_65,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_65.mp4,3,4,0,4,4,1408,1408,7929856,262144,562,2,0.019417476111604968
fine_grained_action_localization_70,P02-20240211-111822,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_70.mp4,1,0,0,0,4,1408,1408,7929856,262144,563,2,0.026572187414155034
fine_grained_action_localization_79,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_79.mp4,1,1,1,1,4,1408,1408,7929856,262144,562,2,0.015980822558762584
fine_grained_action_localization_86,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_86.mp4,2,1,0,1,4,1408,1408,7929856,262144,563,2,0.016673613510373293
fine_grained_action_localization_98,P02-20240211-104948,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_98.mp4,4,0,0,0,4,1408,1408,7929856,262144,561,2,0.02715546409837971
fine_grained_action_localization_106,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_106.mp4,3,0,0,0,4,1408,1408,7929856,262144,562,2,0.01760821669984215
fine_grained_action_localization_112,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_112.mp4,1,2,0,2,4,1408,1408,7929856,262144,563,2,0.02814919011567732
fine_grained_action_localization_130,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_130.mp4,4,0,0,0,4,1408,1408,7929856,262144,562,2,0.03065917339596898
fine_grained_action_localization_143,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_143.mp4,1,0,0,0,4,1408,1408,7929856,262144,566,2,0.0192585457763954
fine_grained_action_localization_174,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_174.mp4,4,0,0,0,4,1408,1408,7929856,262144,563,2,0.010024225364454135
fine_grained_action_localization_191,P02-20240210-100308,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_191.mp4,3,0,0,0,4,1408,1408,7929856,262144,563,2,0.018936405878851554
fine_grained_action_localization_197,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_197.mp4,2,0,0,0,4,1408,1408,7929856,262144,563,2,0.00860955649472974
fine_grained_action_localization_213,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_213.mp4,4,0,0,0,4,1408,1408,7929856,262144,567,2,0.009039547856316964
fine_grained_action_localization_247,P02-20240211-111822,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_247.mp4,0,0,1,0,4,1408,1408,7929856,262144,563,2,0.008970621050519314
fine_grained_action_localization_255,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_255.mp4,4,0,0,0,4,1408,1408,7929856,262144,564,2,0.01306051414727566
fine_grained_action_localization_260,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_260.mp4,2,0,0,0,4,1408,1408,7929856,262144,564,2,0.01658833259221604
fine_grained_action_localization_310,P02-20240210-122334,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_310.mp4,2,2,1,2,4,1408,1408,7929856,262144,564,2,0.012630249930449452
